Date,Price,Income/Expense,Category
2020-12-15,2070.21,Income,Investment Return
2020-12-15,3073.5,Expense,Travel
2020-12-15,3579.18,Expense,Travel
2020-12-16,5700.85,Income,Service Revenue
2020-12-18,4964.86,Expense,Salaries
2020-12-18,245.01,Income,Product Sales
2020-12-18,6536.12,Income,Investment Return
2020-12-19,4705.56,Expense,Marketing
2020-12-21,2390.44,Income,Grants
2020-12-21,1318.33,Expense,Salaries
2020-12-21,702.52,Expense,Marketing
2020-12-21,884.88,Expense,Salaries
2020-12-22,430.38,Expense,Rent
2020-12-23,4044.18,Expense,Marketing
2020-12-25,3578.01,Expense,Utilities
2020-12-25,2012.28,Income,Product Sales
2020-12-25,4604.73,Expense,Rent
2020-12-26,4673.41,Expense,Travel
2020-12-26,2582.52,Expense,Travel
2020-12-27,9619.97,Income,Product Sales
2020-12-28,5736.05,Income,Investment Return
2020-12-28,8675.71,Income,Product Sales
2020-12-28,2583.81,Income,Product Sales
2020-12-28,1984.34,Income,Product Sales
2020-12-29,7678.88,Income,Investment Return
2020-12-29,9460.4,Income,Product Sales
2020-12-29,470.99,Expense,Marketing
2020-12-30,2973.53,Income,Grants
2020-12-30,2506.01,Expense,Rent
2020-12-30,9303.53,Income,Service Revenue
2020-12-31,3956.21,Income,Product Sales
2021-01-02,723.39,Expense,Marketing
2021-01-04,4659.86,Expense,Rent
2021-01-04,4445.99,Expense,Salaries
2021-01-05,1118.76,Income,Investment Return
2021-01-05,1221.67,Income,Service Revenue
2021-01-06,1081.45,Expense,Rent
2021-01-07,2866.51,Income,Service Revenue
2021-01-07,2715.37,Expense,Utilities
2021-01-08,3459.3,Income,Service Revenue
2021-01-08,3641.77,Income,Grants
2021-01-08,542.08,Expense,Travel
2021-01-09,4031.37,Expense,Office Supplies
2021-01-09,5788.36,Income,Product Sales
2021-01-10,3487.04,Expense,Rent
2021-01-10,2698.6,Income,Grants
2021-01-11,3278.65,Expense,Rent
2021-01-12,1898.15,Income,Grants
2021-01-12,339.91,Expense,Travel
2021-01-12,2428.78,Expense,Salaries
2021-01-13,2049.19,Income,Service Revenue
2021-01-14,1853.56,Income,Grants
2021-01-14,1148.92,Expense,Rent
2021-01-15,1806.46,Expense,Office Supplies
2021-01-15,3673.54,Expense,Utilities
2021-01-15,1093.74,Expense,Marketing
2021-01-15,4936.57,Income,Service Revenue
2021-01-16,3368.36,Expense,Travel
2021-01-17,1316.81,Expense,Marketing
2021-01-18,3933.74,Income,Product Sales
2021-01-18,5838.01,Income,Investment Return
2021-01-19,523.12,Income,Service Revenue
2021-01-19,4641.7,Expense,Travel
2021-01-20,3679.1,Expense,Salaries
2021-01-20,5374.99,Income,Service Revenue
2021-01-20,8187.21,Income,Product Sales
2021-01-20,694.07,Expense,Salaries
2021-01-21,3763.94,Expense,Salaries
2021-01-21,7085.07,Income,Investment Return
2021-01-22,1568.77,Income,Service Revenue
2021-01-23,7951.97,Income,Investment Return
2021-01-23,6633.94,Income,Grants
2021-01-24,9785.47,Income,Product Sales
2021-01-24,1930.71,Income,Product Sales
2021-01-25,8070.66,Income,Grants
2021-01-25,4689.45,Expense,Salaries
2021-01-26,7546.07,Income,Grants
2021-01-27,81.46,Expense,Marketing
2021-01-27,9936.42,Income,Grants
2021-01-29,2087.06,Income,Investment Return
2021-01-29,3503.68,Expense,Marketing
2021-01-30,102.97,Expense,Rent
2021-01-30,8638.72,Income,Service Revenue
2021-01-30,1095.57,Income,Service Revenue
2021-01-30,299.69,Expense,Salaries
2021-01-31,4499.07,Expense,Rent
2021-01-31,1268.26,Income,Grants
2021-01-31,4883.03,Income,Product Sales
2021-01-31,1545.38,Expense,Utilities
2021-01-31,1193.4,Expense,Travel
2021-02-01,2724.13,Expense,Marketing
2021-02-01,1784.8,Expense,Marketing
2021-02-01,334.39,Expense,Rent
2021-02-02,8390.75,Income,Grants
2021-02-02,7655.19,Income,Product Sales
2021-02-02,255.39,Income,Service Revenue
2021-02-02,1569.75,Expense,Utilities
2021-02-02,1360.56,Expense,Salaries
2021-02-03,4943.86,Income,Product Sales
2021-02-03,5831.88,Income,Product Sales
2021-02-04,3834.54,Expense,Rent
2021-02-04,4755.08,Expense,Office Supplies
2021-02-04,4523.16,Income,Investment Return
2021-02-04,4037.73,Expense,Rent
2021-02-04,2515.18,Expense,Marketing
2021-02-04,1749.02,Expense,Office Supplies
2021-02-04,7335.71,Income,Investment Return
2021-02-05,624.65,Expense,Travel
2021-02-05,6817.06,Income,Investment Return
2021-02-05,1198.84,Expense,Utilities
2021-02-06,1054.76,Expense,Salaries
2021-02-07,9576.25,Income,Service Revenue
2021-02-07,2608.46,Income,Investment Return
2021-02-08,1621.23,Expense,Rent
2021-02-08,8897.56,Income,Service Revenue
2021-02-08,8660.06,Income,Product Sales
2021-02-09,106.21,Income,Service Revenue
2021-02-09,1969.06,Income,Grants
2021-02-09,1344.49,Income,Service Revenue
2021-02-09,2691.9,Expense,Rent
2021-02-10,8676.3,Income,Service Revenue
2021-02-10,3757.71,Expense,Rent
2021-02-11,4416.35,Income,Grants
2021-02-11,5759.62,Income,Service Revenue
2021-02-13,2909.6,Income,Investment Return
2021-02-16,6741.56,Income,Investment Return
2021-02-16,972.71,Income,Product Sales
2021-02-17,3987.29,Expense,Salaries
2021-02-17,4492.09,Income,Grants
2021-02-17,4517.09,Income,Grants
2021-02-17,4983.48,Income,Product Sales
2021-02-21,3480.69,Expense,Travel
2021-02-21,1549.59,Expense,Rent
2021-02-22,9064.83,Income,Grants
2021-02-22,5140.66,Income,Investment Return
2021-02-22,5010.82,Income,Product Sales
2021-02-23,8201.18,Income,Investment Return
2021-02-23,123.0,Income,Product Sales
2021-02-23,1453.64,Expense,Rent
2021-02-23,1023.29,Expense,Office Supplies
2021-02-24,4517.08,Expense,Office Supplies
2021-02-25,4084.14,Expense,Travel
2021-02-25,1917.28,Income,Grants
2021-02-25,2446.32,Expense,Rent
2021-02-26,2062.24,Income,Service Revenue
2021-02-28,2474.62,Expense,Rent
2021-02-28,1831.35,Income,Investment Return
2021-02-28,3172.76,Expense,Office Supplies
2021-02-28,3315.29,Expense,Marketing
2021-03-01,4028.21,Income,Product Sales
2021-03-02,4345.39,Expense,Office Supplies
2021-03-02,2187.76,Expense,Marketing
2021-03-02,4942.68,Expense,Travel
2021-03-03,5250.3,Income,Investment Return
2021-03-03,1995.02,Expense,Salaries
2021-03-04,4046.68,Expense,Marketing
2021-03-05,6841.44,Income,Product Sales
2021-03-07,4518.18,Expense,Rent
2021-03-07,6036.01,Income,Investment Return
2021-03-07,3184.43,Expense,Utilities
2021-03-10,596.8,Expense,Salaries
2021-03-10,4239.4,Expense,Rent
2021-03-10,3844.49,Expense,Utilities
2021-03-10,7240.12,Income,Product Sales
2021-03-11,4953.93,Expense,Office Supplies
2021-03-11,2486.54,Income,Product Sales
2021-03-13,4152.51,Expense,Salaries
2021-03-13,1287.61,Expense,Salaries
2021-03-16,4006.67,Expense,Marketing
2021-03-17,2387.81,Expense,Travel
2021-03-17,1015.91,Income,Product Sales
2021-03-17,4359.15,Expense,Salaries
2021-03-17,9841.91,Income,Grants
2021-03-18,1193.23,Expense,Utilities
2021-03-19,3684.87,Expense,Salaries
2021-03-20,1180.7,Expense,Utilities
2021-03-20,259.43,Expense,Travel
2021-03-20,28.19,Expense,Rent
2021-03-20,3926.34,Expense,Rent
2021-03-20,426.77,Expense,Rent
2021-03-21,5076.04,Income,Grants
2021-03-22,6322.81,Income,Grants
2021-03-22,2796.06,Expense,Travel
2021-03-23,4547.75,Income,Grants
2021-03-24,3352.94,Expense,Salaries
2021-03-24,4653.82,Income,Service Revenue
2021-03-24,6107.25,Income,Service Revenue
2021-03-24,2528.47,Expense,Rent
2021-03-25,1829.1,Expense,Marketing
2021-03-27,1210.29,Expense,Travel
2021-03-28,1377.8,Expense,Travel
2021-03-28,3295.43,Expense,Travel
2021-03-28,994.86,Expense,Travel
2021-03-28,1897.5,Expense,Marketing
2021-03-29,713.81,Expense,Travel
2021-03-29,1739.42,Expense,Salaries
2021-03-30,3582.6,Expense,Marketing
2021-03-30,1816.82,Expense,Utilities
2021-03-30,4320.15,Expense,Office Supplies
2021-03-30,4735.46,Expense,Utilities
2021-03-30,635.36,Expense,Salaries
2021-03-31,2358.2,Expense,Rent
2021-03-31,3669.64,Expense,Travel
2021-03-31,1080.92,Expense,Salaries
2021-04-01,4077.75,Income,Service Revenue
2021-04-01,2522.28,Expense,Utilities
2021-04-01,938.49,Expense,Travel
2021-04-03,1592.4,Expense,Rent
2021-04-03,9258.14,Income,Service Revenue
2021-04-03,3583.79,Expense,Rent
2021-04-04,7649.09,Income,Investment Return
2021-04-04,1762.27,Expense,Marketing
2021-04-04,1327.1,Expense,Salaries
2021-04-04,292.37,Expense,Rent
2021-04-04,2630.5,Expense,Office Supplies
2021-04-05,779.62,Income,Product Sales
2021-04-05,969.07,Expense,Rent
2021-04-07,3372.09,Expense,Marketing
2021-04-07,112.55,Income,Product Sales
2021-04-08,4955.04,Income,Service Revenue
2021-04-09,7302.61,Income,Grants
2021-04-10,594.51,Expense,Marketing
2021-04-11,2841.26,Expense,Marketing
2021-04-11,101.85,Income,Service Revenue
2021-04-11,2183.55,Income,Product Sales
2021-04-11,282.54,Expense,Salaries
2021-04-12,129.99,Expense,Utilities
2021-04-13,8519.99,Income,Grants
2021-04-14,2899.53,Expense,Office Supplies
2021-04-14,6593.44,Income,Grants
2021-04-15,3032.1,Expense,Marketing
2021-04-15,4389.71,Expense,Travel
2021-04-15,3376.71,Expense,Office Supplies
2021-04-17,2715.19,Expense,Marketing
2021-04-17,1638.12,Expense,Marketing
2021-04-18,4333.59,Expense,Office Supplies
2021-04-18,7900.9,Income,Investment Return
2021-04-18,5831.76,Income,Service Revenue
2021-04-19,8620.61,Income,Investment Return
2021-04-19,829.44,Expense,Marketing
2021-04-20,6988.37,Income,Grants
2021-04-20,2393.1,Expense,Utilities
2021-04-20,7553.2,Income,Investment Return
2021-04-20,9993.43,Income,Product Sales
2021-04-21,943.34,Expense,Utilities
2021-04-21,1909.24,Income,Service Revenue
2021-04-22,2614.01,Expense,Marketing
2021-04-22,4469.16,Expense,Salaries
2021-04-25,410.29,Income,Product Sales
2021-04-25,2082.37,Expense,Rent
2021-04-26,2818.44,Expense,Travel
2021-04-26,8074.12,Income,Product Sales
2021-04-27,5885.52,Income,Product Sales
2021-04-27,961.15,Expense,Salaries
2021-04-27,1461.39,Expense,Utilities
2021-04-28,3149.47,Expense,Office Supplies
2021-04-29,4380.91,Expense,Salaries
2021-04-29,2779.14,Income,Service Revenue
2021-04-29,2165.67,Expense,Utilities
2021-05-02,7288.5,Income,Product Sales
2021-05-02,4763.53,Expense,Travel
2021-05-02,1846.75,Income,Investment Return
2021-05-03,3642.84,Expense,Office Supplies
2021-05-03,1673.29,Expense,Salaries
2021-05-03,8709.85,Income,Product Sales
2021-05-04,2464.24,Expense,Marketing
2021-05-04,3960.99,Expense,Utilities
2021-05-04,1492.82,Expense,Office Supplies
2021-05-04,413.8,Expense,Salaries
2021-05-05,2037.64,Expense,Utilities
2021-05-06,3543.05,Income,Grants
2021-05-06,3879.14,Expense,Travel
2021-05-06,4477.38,Expense,Travel
2021-05-07,1189.73,Income,Investment Return
2021-05-07,164.14,Expense,Utilities
2021-05-07,5712.24,Income,Service Revenue
2021-05-08,2228.95,Expense,Salaries
2021-05-08,2512.71,Income,Service Revenue
2021-05-08,623.78,Income,Grants
2021-05-09,4899.42,Expense,Rent
2021-05-11,1607.07,Expense,Rent
2021-05-11,1419.94,Income,Service Revenue
2021-05-11,2948.87,Expense,Utilities
2021-05-11,6726.63,Income,Investment Return
2021-05-11,3606.13,Income,Grants
2021-05-12,3455.16,Expense,Marketing
2021-05-13,3664.99,Income,Grants
2021-05-13,4358.83,Expense,Marketing
2021-05-14,8027.95,Income,Product Sales
2021-05-14,3736.89,Expense,Travel
2021-05-14,444.02,Expense,Marketing
2021-05-14,3349.98,Expense,Rent
2021-05-15,4905.6,Expense,Utilities
2021-05-16,626.96,Expense,Office Supplies
2021-05-16,3180.09,Expense,Office Supplies
2021-05-17,1431.15,Expense,Office Supplies
2021-05-17,2549.26,Income,Investment Return
2021-05-17,1302.25,Expense,Marketing
2021-05-18,5495.32,Income,Grants
2021-05-18,4287.68,Expense,Rent
2021-05-19,822.74,Income,Service Revenue
2021-05-20,2622.03,Expense,Travel
2021-05-23,9960.34,Income,Service Revenue
2021-05-23,2735.69,Income,Service Revenue
2021-05-23,2522.4,Expense,Salaries
2021-05-24,2924.72,Expense,Rent
2021-05-24,3198.98,Expense,Travel
2021-05-24,685.85,Income,Product Sales
2021-05-25,2875.69,Expense,Travel
2021-05-25,3809.21,Expense,Marketing
2021-05-25,1571.63,Expense,Utilities
2021-05-25,209.67,Expense,Marketing
2021-05-26,3580.2,Expense,Office Supplies
2021-05-27,481.72,Expense,Utilities
2021-05-27,9655.58,Income,Investment Return
2021-05-27,3434.55,Expense,Office Supplies
2021-05-28,3756.61,Income,Product Sales
2021-05-29,8649.21,Income,Investment Return
2021-05-29,6257.17,Income,Service Revenue
2021-05-29,4517.89,Expense,Salaries
2021-05-29,1542.95,Expense,Utilities
2021-05-30,2878.17,Expense,Rent
2021-05-30,3544.61,Expense,Salaries
2021-05-30,2666.16,Expense,Rent
2021-05-30,4503.91,Income,Product Sales
2021-05-30,9127.0,Income,Investment Return
2021-05-31,334.27,Expense,Salaries
2021-05-31,438.13,Expense,Salaries
2021-05-31,713.73,Expense,Utilities
2021-06-01,875.95,Expense,Office Supplies
2021-06-01,4213.59,Income,Grants
2021-06-02,1423.35,Expense,Travel
2021-06-03,4999.25,Expense,Travel
2021-06-03,2580.85,Expense,Utilities
2021-06-04,3661.23,Income,Grants
2021-06-04,599.97,Expense,Marketing
2021-06-04,764.19,Expense,Travel
2021-06-04,1390.35,Expense,Utilities
2021-06-04,4390.91,Expense,Rent
2021-06-05,1820.8,Expense,Office Supplies
2021-06-05,4907.9,Income,Investment Return
2021-06-06,7827.67,Income,Service Revenue
2021-06-07,1051.14,Expense,Rent
2021-06-07,2700.94,Income,Service Revenue
2021-06-07,3828.59,Expense,Marketing
2021-06-08,2978.37,Expense,Travel
2021-06-08,5577.58,Income,Grants
2021-06-09,1812.76,Expense,Rent
2021-06-09,2923.98,Expense,Marketing
2021-06-09,4365.68,Expense,Marketing
2021-06-09,373.77,Expense,Salaries
2021-06-09,2345.05,Expense,Marketing
2021-06-10,4294.49,Expense,Travel
2021-06-12,4997.35,Expense,Marketing
2021-06-13,4737.55,Expense,Rent
2021-06-14,379.46,Income,Product Sales
2021-06-15,8436.86,Income,Service Revenue
2021-06-15,4166.81,Expense,Office Supplies
2021-06-17,1814.76,Expense,Rent
2021-06-17,3344.7,Income,Service Revenue
2021-06-18,4633.84,Income,Service Revenue
2021-06-19,8727.74,Income,Service Revenue
2021-06-19,2529.49,Expense,Utilities
2021-06-20,6053.7,Income,Service Revenue
2021-06-20,4533.04,Expense,Rent
2021-06-20,5920.23,Income,Grants
2021-06-21,7927.84,Income,Grants
2021-06-23,1350.03,Expense,Travel
2021-06-23,989.24,Income,Grants
2021-06-24,205.36,Expense,Salaries
2021-06-24,172.61,Income,Grants
2021-06-25,4133.19,Expense,Utilities
2021-06-25,3816.97,Expense,Marketing
2021-06-26,3099.09,Expense,Marketing
2021-06-26,4543.57,Expense,Utilities
2021-06-29,2579.06,Expense,Travel
2021-06-29,3502.94,Expense,Rent
2021-06-29,8504.35,Income,Grants
2021-06-29,2494.2,Income,Grants
2021-06-30,1600.18,Expense,Utilities
2021-06-30,6806.89,Income,Investment Return
2021-07-01,2564.63,Expense,Marketing
2021-07-01,3176.1,Expense,Rent
2021-07-02,184.4,Expense,Marketing
2021-07-03,4185.35,Expense,Rent
2021-07-03,2023.49,Expense,Salaries
2021-07-04,4065.71,Expense,Travel
2021-07-04,4426.81,Income,Service Revenue
2021-07-05,2690.05,Expense,Salaries
2021-07-06,4292.47,Income,Grants
2021-07-06,1434.61,Expense,Office Supplies
2021-07-07,1511.3,Expense,Utilities
2021-07-07,3707.08,Expense,Office Supplies
2021-07-07,2367.18,Expense,Travel
2021-07-07,701.49,Expense,Rent
2021-07-10,281.82,Expense,Travel
2021-07-10,1025.17,Expense,Utilities
2021-07-10,4497.42,Income,Investment Return
2021-07-12,974.85,Expense,Rent
2021-07-12,4685.67,Income,Product Sales
2021-07-13,3167.46,Expense,Rent
2021-07-14,687.44,Expense,Office Supplies
2021-07-14,9955.56,Income,Grants
2021-07-14,527.42,Expense,Office Supplies
2021-07-16,1299.01,Expense,Marketing
2021-07-16,979.6,Expense,Rent
2021-07-16,600.06,Expense,Salaries
2021-07-16,4140.94,Expense,Salaries
2021-07-17,3986.49,Expense,Salaries
2021-07-17,3741.54,Expense,Office Supplies
2021-07-17,4276.93,Expense,Salaries
2021-07-18,6182.56,Income,Investment Return
2021-07-19,2482.72,Expense,Office Supplies
2021-07-19,7013.55,Income,Grants
2021-07-19,1548.72,Expense,Marketing
2021-07-20,4249.45,Income,Product Sales
2021-07-22,853.95,Expense,Marketing
2021-07-23,3278.02,Expense,Office Supplies
2021-07-23,6253.04,Income,Service Revenue
2021-07-23,626.04,Expense,Utilities
2021-07-23,7099.45,Income,Product Sales
2021-07-24,3893.03,Expense,Travel
2021-07-25,883.51,Expense,Salaries
2021-07-25,4605.25,Income,Product Sales
2021-07-26,3545.55,Expense,Rent
2021-07-27,3542.98,Expense,Utilities
2021-07-27,2471.96,Expense,Office Supplies
2021-07-28,705.92,Expense,Office Supplies
2021-07-28,1259.12,Expense,Salaries
2021-07-28,1113.43,Income,Grants
2021-07-28,2733.38,Income,Product Sales
2021-07-29,676.4,Expense,Rent
2021-07-30,3948.81,Income,Product Sales
2021-07-31,3503.99,Expense,Travel
2021-07-31,2611.84,Expense,Utilities
2021-07-31,4532.56,Expense,Travel
2021-07-31,4015.2,Expense,Utilities
2021-08-01,1033.37,Expense,Rent
2021-08-01,3754.77,Expense,Travel
2021-08-02,4690.37,Expense,Marketing
2021-08-03,4811.82,Expense,Office Supplies
2021-08-03,6530.48,Income,Product Sales
2021-08-03,3596.15,Expense,Utilities
2021-08-03,1048.77,Expense,Rent
2021-08-04,6637.32,Income,Investment Return
2021-08-05,3431.33,Expense,Marketing
2021-08-06,602.95,Income,Product Sales
2021-08-06,3752.74,Expense,Rent
2021-08-07,3456.81,Expense,Salaries
2021-08-07,735.23,Expense,Rent
2021-08-08,5584.4,Income,Grants
2021-08-09,108.21,Expense,Utilities
2021-08-09,3385.29,Expense,Salaries
2021-08-10,5265.16,Income,Service Revenue
2021-08-10,2009.42,Income,Service Revenue
2021-08-10,2872.35,Expense,Utilities
2021-08-10,2350.54,Expense,Marketing
2021-08-10,8244.76,Income,Grants
2021-08-11,2601.03,Expense,Salaries
2021-08-11,6613.7,Income,Service Revenue
2021-08-11,6096.96,Income,Product Sales
2021-08-11,2218.69,Expense,Utilities
2021-08-12,5379.75,Income,Investment Return
2021-08-12,470.23,Income,Investment Return
2021-08-13,2705.17,Expense,Rent
2021-08-14,2135.42,Expense,Salaries
2021-08-14,3584.1,Income,Service Revenue
2021-08-15,2307.47,Expense,Office Supplies
2021-08-15,8754.27,Income,Grants
2021-08-15,1530.35,Expense,Utilities
2021-08-15,672.67,Expense,Travel
2021-08-16,9791.3,Income,Product Sales
2021-08-16,3447.93,Expense,Rent
2021-08-16,9612.21,Income,Product Sales
2021-08-16,4250.33,Expense,Utilities
2021-08-17,4854.91,Income,Product Sales
2021-08-18,713.45,Expense,Office Supplies
2021-08-18,333.56,Income,Grants
2021-08-20,5612.7,Income,Service Revenue
2021-08-20,3125.13,Expense,Salaries
2021-08-20,1324.54,Income,Investment Return
2021-08-20,3335.97,Expense,Travel
2021-08-20,3728.09,Expense,Utilities
2021-08-23,4493.81,Expense,Marketing
2021-08-23,1803.65,Income,Investment Return
2021-08-24,3595.0,Expense,Travel
2021-08-24,3154.53,Expense,Rent
2021-08-26,4271.2,Expense,Rent
2021-08-26,5214.61,Income,Grants
2021-08-27,3241.25,Expense,Rent
2021-08-27,6385.8,Income,Grants
2021-08-29,2877.78,Expense,Salaries
2021-08-29,79.35,Expense,Travel
2021-08-30,843.79,Expense,Utilities
2021-08-31,9635.27,Income,Investment Return
2021-08-31,3619.39,Expense,Office Supplies
2021-09-01,3083.02,Expense,Rent
2021-09-01,1455.06,Expense,Marketing
2021-09-01,3451.82,Expense,Utilities
2021-09-03,2734.47,Income,Product Sales
2021-09-04,1111.25,Expense,Travel
2021-09-04,1057.83,Expense,Travel
2021-09-04,4101.66,Expense,Office Supplies
2021-09-05,1563.74,Income,Investment Return
2021-09-06,4415.42,Expense,Office Supplies
2021-09-07,1919.47,Income,Investment Return
2021-09-08,4798.17,Expense,Travel
2021-09-09,5411.06,Income,Investment Return
2021-09-09,4248.24,Expense,Marketing
2021-09-10,7489.56,Income,Grants
2021-09-11,297.42,Expense,Marketing
2021-09-11,4538.63,Income,Service Revenue
2021-09-12,4989.93,Expense,Travel
2021-09-14,2331.74,Expense,Travel
2021-09-14,414.48,Expense,Marketing
2021-09-15,1065.29,Expense,Office Supplies
2021-09-15,1150.64,Income,Grants
2021-09-15,3160.97,Expense,Office Supplies
2021-09-15,1208.92,Income,Investment Return
2021-09-16,3787.57,Expense,Rent
2021-09-16,3004.88,Expense,Office Supplies
2021-09-17,1594.07,Expense,Utilities
2021-09-18,2628.0,Income,Grants
2021-09-18,3343.31,Expense,Utilities
2021-09-19,2309.03,Expense,Rent
2021-09-19,2634.0,Expense,Salaries
2021-09-20,3110.37,Expense,Rent
2021-09-20,880.33,Expense,Rent
2021-09-20,3679.11,Expense,Salaries
2021-09-20,2859.5,Expense,Utilities
2021-09-21,5154.15,Income,Grants
2021-09-21,645.4,Expense,Marketing
2021-09-22,9731.16,Income,Service Revenue
2021-09-23,7983.23,Income,Product Sales
2021-09-23,2549.58,Expense,Travel
2021-09-24,4515.76,Expense,Travel
2021-09-24,7043.5,Income,Service Revenue
2021-09-25,4182.43,Income,Grants
2021-09-25,1995.84,Expense,Office Supplies
2021-09-25,1906.33,Income,Service Revenue
2021-09-25,556.02,Income,Service Revenue
2021-09-25,1891.75,Expense,Marketing
2021-09-26,612.73,Expense,Office Supplies
2021-09-26,5301.91,Income,Grants
2021-09-27,3109.45,Expense,Utilities
2021-09-28,2147.3,Income,Service Revenue
2021-09-28,999.4,Expense,Utilities
2021-09-28,2380.91,Income,Grants
2021-09-29,3457.05,Expense,Utilities
2021-09-30,1976.24,Income,Investment Return
2021-09-30,592.23,Expense,Utilities
2021-10-01,3509.61,Expense,Travel
2021-10-01,1982.57,Expense,Travel
2021-10-02,2551.61,Expense,Marketing
2021-10-02,4221.9,Expense,Utilities
2021-10-03,3055.08,Income,Investment Return
2021-10-03,6938.19,Income,Service Revenue
2021-10-04,4127.77,Expense,Rent
2021-10-05,670.75,Expense,Rent
2021-10-06,2101.28,Income,Grants
2021-10-07,2523.7,Expense,Marketing
2021-10-07,1224.05,Income,Investment Return
2021-10-07,1950.72,Expense,Rent
2021-10-08,3025.13,Income,Grants
2021-10-08,2087.48,Expense,Utilities
2021-10-09,411.98,Income,Service Revenue
2021-10-09,1358.25,Income,Service Revenue
2021-10-10,5933.22,Income,Product Sales
2021-10-11,2046.35,Expense,Marketing
2021-10-11,4986.08,Income,Grants
2021-10-13,1232.77,Expense,Rent
2021-10-14,2574.64,Expense,Salaries
2021-10-15,2149.24,Income,Investment Return
2021-10-15,92.75,Expense,Marketing
2021-10-17,4079.06,Expense,Marketing
2021-10-17,5170.93,Income,Investment Return
2021-10-18,1721.54,Expense,Utilities
2021-10-18,8057.18,Income,Service Revenue
2021-10-19,4348.49,Expense,Salaries
2021-10-20,2213.89,Expense,Salaries
2021-10-21,4776.01,Expense,Salaries
2021-10-21,864.13,Expense,Salaries
2021-10-22,7327.02,Income,Investment Return
2021-10-22,1120.94,Expense,Rent
2021-10-22,9155.48,Income,Grants
2021-10-22,148.2,Income,Service Revenue
2021-10-22,5518.51,Income,Service Revenue
2021-10-23,2075.14,Expense,Office Supplies
2021-10-23,4461.53,Expense,Marketing
2021-10-23,2845.87,Expense,Travel
2021-10-23,365.99,Income,Grants
2021-10-23,2171.31,Expense,Rent
2021-10-23,8465.21,Income,Service Revenue
2021-10-24,2247.81,Expense,Travel
2021-10-24,4670.65,Expense,Travel
2021-10-24,862.63,Expense,Utilities
2021-10-25,2083.88,Expense,Rent
2021-10-25,3383.41,Income,Investment Return
2021-10-25,254.35,Expense,Utilities
2021-10-25,1922.63,Expense,Travel
2021-10-25,9375.59,Income,Service Revenue
2021-10-25,8040.18,Income,Investment Return
2021-10-26,699.12,Expense,Rent
2021-10-26,3117.46,Expense,Rent
2021-10-27,1098.56,Expense,Office Supplies
2021-10-27,1488.83,Expense,Salaries
2021-10-27,4815.59,Income,Service Revenue
2021-10-28,1903.56,Expense,Salaries
2021-10-29,2820.9,Expense,Travel
2021-10-30,1199.25,Expense,Marketing
2021-10-31,9859.46,Income,Grants
2021-10-31,1303.74,Expense,Marketing
2021-10-31,7050.62,Income,Investment Return
2021-11-02,2403.1,Income,Investment Return
2021-11-02,7754.36,Income,Investment Return
2021-11-02,4329.17,Expense,Salaries
2021-11-02,2077.27,Expense,Utilities
2021-11-02,1343.59,Income,Service Revenue
2021-11-02,2167.43,Expense,Salaries
2021-11-03,4848.29,Income,Service Revenue
2021-11-03,6749.44,Income,Grants
2021-11-04,2247.06,Expense,Utilities
2021-11-05,640.57,Expense,Utilities
2021-11-06,3187.52,Expense,Marketing
2021-11-06,4434.78,Expense,Salaries
2021-11-06,3533.96,Expense,Marketing
2021-11-07,1077.18,Expense,Utilities
2021-11-08,6200.21,Income,Product Sales
2021-11-12,1525.93,Expense,Office Supplies
2021-11-12,4042.43,Expense,Salaries
2021-11-12,4973.02,Expense,Marketing
2021-11-12,7280.34,Income,Grants
2021-11-13,6210.47,Income,Service Revenue
2021-11-14,4570.5,Income,Grants
2021-11-14,91.37,Expense,Utilities
2021-11-15,903.09,Expense,Office Supplies
2021-11-15,4904.35,Expense,Utilities
2021-11-15,1169.49,Income,Service Revenue
2021-11-15,4049.79,Expense,Utilities
2021-11-16,5922.13,Income,Grants
2021-11-16,4325.22,Income,Product Sales
2021-11-16,39.72,Expense,Rent
2021-11-17,4823.15,Expense,Rent
2021-11-17,1830.95,Expense,Marketing
2021-11-17,1389.62,Expense,Salaries
2021-11-17,4376.9,Income,Service Revenue
2021-11-18,3945.24,Expense,Rent
2021-11-18,9392.78,Income,Service Revenue
2021-11-18,638.05,Income,Product Sales
2021-11-19,791.19,Expense,Office Supplies
2021-11-19,1644.89,Expense,Utilities
2021-11-19,8514.47,Income,Investment Return
2021-11-20,1057.22,Expense,Office Supplies
2021-11-20,176.89,Income,Investment Return
2021-11-20,337.15,Expense,Marketing
2021-11-20,8293.98,Income,Service Revenue
2021-11-20,3354.73,Income,Service Revenue
2021-11-21,3560.28,Income,Grants
2021-11-21,4509.55,Income,Product Sales
2021-11-22,581.96,Expense,Rent
2021-11-23,3065.61,Income,Grants
2021-11-23,1060.48,Income,Product Sales
2021-11-23,3359.38,Income,Grants
2021-11-25,5022.57,Income,Product Sales
2021-11-26,603.45,Income,Investment Return
2021-11-27,888.09,Income,Grants
2021-11-27,9222.98,Income,Investment Return
2021-11-28,2142.96,Expense,Utilities
2021-11-28,3738.08,Expense,Rent
2021-11-28,3163.32,Expense,Salaries
2021-11-28,4317.35,Expense,Marketing
2021-11-29,3409.18,Expense,Travel
2021-11-29,3328.47,Income,Product Sales
2021-11-29,453.8,Expense,Marketing
2021-11-30,154.86,Expense,Rent
2021-11-30,6702.96,Income,Service Revenue
